DeepConvNet Results
====================
Classes: (np.str_('A'), np.str_('C'))
Train samples: 20278 | Test samples: 4782
Class counts (train): {np.str_('A'): 11976, np.str_('C'): 8302}

Final (last-epoch) test accuracy: 0.9078
Best test accuracy during training: 0.9695

Predicted class distribution: Counter({np.int64(0): 2503, np.int64(1): 2279})
True class distribution:      Counter({np.int64(0): 2538, np.int64(1): 2244})

Per-epoch history (epoch, train_loss, train_acc, test_acc):
1	0.4030	0.8451	0.7974
2	0.3171	0.8815	0.8501
3	0.2474	0.9055	0.8446
4	0.1781	0.9316	0.8716
5	0.1478	0.9462	0.8388
6	0.1271	0.9539	0.9379
7	0.1203	0.9542	0.8674
8	0.1284	0.9521	0.9235
9	0.1052	0.9613	0.8578
10	0.1044	0.9607	0.9379
11	0.1097	0.9603	0.8269
12	0.0941	0.9661	0.9519
13	0.0979	0.9643	0.9596
14	0.0960	0.9648	0.8503
15	0.0880	0.9674	0.7503
16	0.0989	0.9641	0.8488
17	0.0803	0.9702	0.7465
18	0.0784	0.9721	0.9500
19	0.0877	0.9687	0.9601
20	0.0733	0.9727	0.9440
21	0.0732	0.9744	0.9090
22	0.0756	0.9722	0.9256
23	0.0825	0.9709	0.9676
24	0.0794	0.9712	0.8994
25	0.0727	0.9737	0.9253
26	0.0761	0.9727	0.8519
27	0.0650	0.9762	0.9496
28	0.0728	0.9727	0.9645
29	0.0793	0.9696	0.8844
30	0.0687	0.9754	0.9492
31	0.0749	0.9739	0.8553
32	0.0785	0.9721	0.9471
33	0.0660	0.9779	0.8607
34	0.0754	0.9739	0.8798
35	0.0728	0.9734	0.8202
36	0.0755	0.9715	0.8331
37	0.0850	0.9698	0.8595
38	0.0744	0.9726	0.9494
39	0.0662	0.9760	0.8691
40	0.0886	0.9685	0.8574
41	0.0606	0.9786	0.9034
42	0.0699	0.9749	0.9557
43	0.0675	0.9757	0.8578
44	0.0679	0.9763	0.8243
45	0.0578	0.9794	0.8731
46	0.0749	0.9730	0.8275
47	0.0757	0.9729	0.9136
48	0.0627	0.9776	0.8720
49	0.0994	0.9641	0.9636
50	0.0700	0.9744	0.8760
51	0.0710	0.9739	0.9684
52	0.0660	0.9752	0.9488
53	0.0577	0.9794	0.9214
54	0.0655	0.9768	0.9362
55	0.0938	0.9654	0.9410
56	0.0572	0.9801	0.9164
57	0.0605	0.9767	0.9172
58	0.0656	0.9764	0.9492
59	0.0668	0.9761	0.8938
60	0.0579	0.9796	0.7988
61	0.0715	0.9745	0.9153
62	0.0602	0.9774	0.7988
63	0.0679	0.9750	0.9391
64	0.0764	0.9743	0.9331
65	0.0655	0.9776	0.9419
66	0.0671	0.9766	0.9408
67	0.0686	0.9756	0.9128
68	0.0680	0.9759	0.9306
69	0.0614	0.9781	0.8557
70	0.0583	0.9789	0.8471
71	0.1064	0.9597	0.8697
72	0.0732	0.9733	0.9417
73	0.0577	0.9786	0.8296
74	0.0625	0.9788	0.9695
75	0.0710	0.9739	0.8867
76	0.0712	0.9747	0.8653
77	0.0602	0.9782	0.9348
78	0.0673	0.9761	0.8795
79	0.0682	0.9746	0.9377
80	0.0683	0.9755	0.9385
81	0.0680	0.9759	0.7802
82	0.0651	0.9778	0.9364
83	0.0545	0.9821	0.9496
84	0.0573	0.9796	0.8900
85	0.0561	0.9801	0.9038
86	0.0890	0.9687	0.9291
87	0.0722	0.9729	0.9519
88	0.0558	0.9799	0.9138
89	0.0688	0.9753	0.8814
90	0.0597	0.9781	0.9253
91	0.0542	0.9817	0.7687
92	0.0652	0.9763	0.8509
93	0.0932	0.9661	0.8950
94	0.0692	0.9763	0.8678
95	0.0751	0.9726	0.8275
96	0.0764	0.9723	0.9343
97	0.0554	0.9800	0.9034
98	0.0686	0.9767	0.9356
99	0.0557	0.9802	0.8499
100	0.0726	0.9743	0.9078
